Id,Label,timeset,elo,bucket,community,indegree,outdegree,Degree
sachinder,,,2016,2000,2,4,3,7
vvai,,,2067.25,2040,2,2,2,4
avanti,,,2012.375,2000,1,3,5,8
Ns7edR0EMCZONRp1g7FN,,,2089,2080,1,0,1,1
Orochimaru,,,2319.8,2280,1,8,7,15
hentes81,,,2038.5,2000,2,0,4,4
Toadofsky,,,2006.5,2000,2,2,0,2
qazplmwsxokn,,,2158,2120,4,1,1,2
Quanganh1025,,,2054.625,2040,1,5,3,8
faulschlamm1,,,2104.596774,2080,1,35,27,62
arkadi1958,,,2005,2000,1,0,1,1
Kamillentee,,,2080.387097,2080,1,15,16,31
kapa2,,,2101,2080,4,5,2,7
litavrist,,,2061.08,2040,4,3,5,8
gambiterr,,,2122.5,2120,0,1,1,2
MurphyLasker,,,2038,2000,1,1,0,1
GruenfeldAdict,,,2023.4,2000,1,3,2,5
kmd007,,,2116.5,2080,1,2,4,6
bikhial,,,2170,2160,0,0,1,1
StrongAttacker,,,2038,2000,1,1,0,1
Bg7,,,2079,2040,1,1,1,2
antonov666,,,2373,2360,0,1,0,1
ant1999chess,,,2158,2120,1,0,1,1
Aplitic,,,2236.714286,2200,1,2,5,7
Chessrk,,,2025,2000,1,1,0,1
MONOZEVICH,,,2097,2080,0,1,0,1
AceofSpies,,,2148,2120,1,2,1,3
lindogatito,,,2041.8,2040,1,3,2,5
Salgadim,,,2183.416667,2160,1,5,7,12
EricKaneda,,,2032.8,2000,1,3,2,5
vevesem,,,2165.810345,2160,1,26,32,58
angelus666,,,2212,2200,24,0,1,1
Breslin,,,2129,2120,24,1,0,1
Draker,,,2023,2000,1,0,1,1
alkemisti,,,2135,2120,16,4,3,7
river13,,,2031.5,2000,2,1,1,2
Sergeguillemart,,,2017,2000,0,2,1,3
ari_atoy,,,2057.5,2040,1,0,2,2
master-chess,,,2083,2080,25,2,3,5
Assios,,,2119.166667,2080,0,5,5,10
Spinaltap,,,2407.5,2400,0,2,2,4
mtluser,,,2069.25,2040,0,2,2,4
mfaraji,,,2075.666667,2040,1,1,2,3
DarkHole,,,2167,2160,1,1,0,1
rigby,,,2249.2,2240,1,3,2,5
ZugAddict_Twitch,,,2006,2000,1,1,0,1
andrewrun,,,2178.5,2160,0,2,2,4
anand1,,,2025.416667,2000,1,7,5,12
ql50,,,2066,2040,1,0,1,1
zhoskirocker,,,2032.444444,2000,1,4,5,9
MxTriX_,,,2050.833333,2040,4,0,1,1
cinics,,,2005.5,2000,4,0,2,2
fi05,,,2089.666667,2080,1,2,4,6
ChessBeam,,,2092.5,2080,1,0,2,2
maulwurf,,,2032,2000,0,0,2,2
croarh51,,,2263.175,2240,1,22,18,40
Sergio_Aguero,,,2032.52381,2000,1,23,19,42
matutin,,,2082,2080,1,4,1,5
Blitzki,,,2003,2000,0,1,0,1
einsam,,,2001,2000,1,0,1,1
resmir,,,2043.4,2040,1,3,2,5
demaupassant,,,2242.333333,2240,0,1,2,3
vvvbbbbnnnggg,,,2029.666667,2000,3,0,1,1
chesserstein,,,2248,2240,0,1,1,2
vas1945,,,2063.5,2040,2,3,5,8
CanadianChess,,,2088.666667,2080,1,0,3,3
Hossein1992,,,2004.5,2000,1,0,2,2
svetozar,,,2068,2040,2,0,1,1
shaf,,,2311.125,2280,0,3,5,8
tatalimov,,,2017.772727,2000,1,14,8,22
Huevon,,,2013,2000,0,0,1,1
alexandr7522,,,2104.5,2080,1,3,3,6
alexthegreat,,,2058.2,2040,1,5,5,10
flogislife2,,,2005,2000,1,1,1,2
Serzh1956,,,2071.157143,2040,1,5,7,12
ranzo,,,2004,2000,1,1,0,1
aoao,,,2049,2040,1,1,0,1
Xaxatun,,,2068,2040,1,1,1,2
oxymoron21st,,,2107.769231,2080,1,6,7,13
Yukhno_Alexander,,,2250.125,2240,1,6,2,8
Justlikemusic,,,2042,2040,16,2,1,3
-_si_-,,,2045.5,2040,1,1,1,2
azaaadi2002,,,2206.5,2200,1,1,1,2
rashtao,,,2004,2000,1,0,1,1
rigosj,,,2046.666667,2040,2,1,2,3
Luters,,,2113.875,2080,1,3,3,6
ribarisah,,,2036.771429,2000,0,1,0,1
yasir752,,,2074.202614,2040,1,26,23,49
BlauerKlaus,,,2008,2000,1,0,1,1
gari-k,,,2118.555556,2080,2,22,32,54
SuperMi,,,2097.209302,2080,1,20,21,41
shaxMSTAtist,,,2025.666667,2000,1,4,2,6
Letins888,,,2042,2040,1,0,1,1
alia234,,,2039.5,2000,2,1,1,2
josefranciscotrator,,,2005,2000,1,0,1,1
nuwonga,,,2193,2160,1,9,11,20
vepashka,,,2015,2000,1,6,2,8
knopp,,,2140,2120,1,2,2,4
LoroVerde,,,2099.382979,2080,1,25,22,47
OCoringa,,,2230.8,2200,0,2,3,5
darhaa,,,2022.6,2000,1,5,5,10
topce,,,2250.235294,2240,0,17,17,34
Tikal,,,2072.5,2040,1,2,2,4
Morphy91,,,2023,2000,1,1,2,3
shatrangbaz,,,2045.5,2040,1,1,1,2
Riddik345,,,2237.75,2200,1,5,3,8
Piquro,,,2031.414634,2000,1,22,19,41
amir79,,,2011,2000,1,0,1,1
ENERGIE73,,,2269.733333,2240,0,15,15,30
dreamwalker3,,,2021.833333,2000,0,2,2,4
ellince,,,2015,2000,1,2,0,2
Vicious,,,2024,2000,1,1,1,2
johny_,,,2062,2040,3,3,0,3
PowerfulChessPlayer,,,2113,2080,0,0,1,1
Philidor1792,,,2042.5,2040,1,7,7,14
Pierrodactyle,,,2002,2000,1,0,1,1
TheOldOne,,,2015.75,2000,1,3,1,4
luc5,,,2116.5,2080,1,1,1,2
KotovSyndrome,,,2032,2000,1,1,0,1
Lunaticz,,,2018.5,2000,1,1,3,4
pulkownik1,,,2167.3,2160,1,36,34,70
lttoledo,,,2264,2240,1,0,1,1
erteg47,,,2007,2000,0,1,0,1
whatever,,,2014.333333,2000,1,1,2,3
Teddie,,,2006.333333,2000,1,0,3,3
dorsa1392,,,2014.333333,2000,2,1,2,3
DariusIV,,,2127.333333,2120,0,1,2,3
Bouchard,,,2070,2040,0,1,0,1
lukdimarco,,,2030,2000,1,1,0,1
saeedherox,,,2168.387097,2160,1,18,13,31
okazaki,,,2079,2040,1,1,0,1
InsanePwn,,,2068.777778,2040,1,10,8,18
predejanex,,,2017,2000,1,0,2,2
arna,,,2213,2200,0,2,0,2
Confutatis,,,2145.333333,2120,2,2,1,3
kotbegemot,,,2010,2000,1,1,0,1
olacy,,,2010,2000,2,1,2,3
rafaking,,,2040,2040,1,1,3,4
YouralterEgo,,,2008,2000,1,0,1,1
shammies,,,2002,2000,0,1,0,1
eternauta,,,2008,2000,0,1,0,1
Shachspielkunst,,,2072,2040,1,1,2,3
night_rid3r,,,2076.4,2040,1,3,2,5
Lajosportis,,,2006.5,2000,0,1,1,2
mokachino,,,2110.5,2080,1,0,2,2
godes,,,2214,2200,1,1,1,2
king146,,,2326.5,2320,1,2,0,2
wheeee,,,2064.5,2040,0,0,2,2
klaja,,,2073.214286,2040,1,21,21,42
Wachen,,,2089.75,2080,1,2,2,4
ujura,,,2078,2040,0,1,0,1
SSAARR,,,2017,2000,1,1,0,1
astra,,,2019.75,2000,1,1,3,4
Tjoffen,,,2145.444444,2120,1,4,5,9
alienb,,,2025,2000,1,1,0,1
thoegersen,,,2046.5,2040,1,1,1,2
paloverdekid,,,2161,2160,1,1,0,1
honzarusnak,,,2058.75,2040,1,3,1,4
diogo007,,,2252.714286,2240,2,2,5,7
Pulsy,,,2101,2080,1,1,0,1
